product,timestamp,bid_prices,bid_volumes,ask_prices,ask_volumes,best_bid,best_bid_volume,best_ask,best_ask_volume,total_ask_volume,total_bid_volume,total_volume,mid_price,weighted_mid_price,max_sell_position,max_buy_position,current_position,observation_plain_value,observation_bidPrice,observation_askPrice,observation_transportFees,observation_exportTariff,observation_importTariff,observation_sugarPrice,observation_sunlightIndex,fair_price,mid_price_sma_5,mid_price_sma_10,mid_price_sma_20,mid_price_sma_40,sma5x20_signal,sma10x40_signal
KELP,500.0,"[2032.0, nan, nan, nan]","[24.0, nan, nan, nan]","[2034.0, 2035.0, nan, nan]","[-3.0, -24.0, nan, nan]",2032.0,24.0,2034.0,-3.0,-27.0,24.0,51.0,2033.0,2033.5294117647056,-50.0,50.0,0.0,,,,,,,,,2033.75,2033.8,,,,0,0
RAINFOREST_RESIN,500.0,"[9998.0, 9996.0, 9995.0, nan]","[8.0, 1.0, 23.0, nan]","[10004.0, 10005.0, nan, nan]","[-1.0, -23.0, nan, nan]",9998.0,8.0,10004.0,-1.0,-24.0,32.0,56.0,10001.0,9999.714285714286,-50.0,50.0,0.0,,,,,,,,,10001.083333333334,10001.0,,,,0,0
SQUID_INK,500.0,"[1834.0, nan, nan, nan]","[24.0, nan, nan, nan]","[1836.0, 1837.0, nan, nan]","[-3.0, -24.0, nan, nan]",1834.0,24.0,1836.0,-3.0,-27.0,24.0,51.0,1835.0,1835.5294117647056,-50.0,50.0,22.0,,,,,,,,,1835.5833333333333,1835.5,,,,0,0
KELP,600.0,"[2033.0, 2032.0, nan, nan]","[5.0, 30.0, nan, nan]","[2035.0, nan, nan, nan]","[-30.0, nan, nan, nan]",2033.0,5.0,2035.0,-30.0,-30.0,35.0,65.0,2034.0,2033.4615384615383,-50.0,50.0,0.0,,,,,,,,,2033.7857142857144,2033.7,,,,0,0
RAINFOREST_RESIN,600.0,"[9996.0, 9995.0, nan, nan]","[2.0, 28.0, nan, nan]","[10004.0, 10005.0, nan, nan]","[-2.0, -28.0, nan, nan]",9996.0,2.0,10004.0,-2.0,-30.0,30.0,60.0,10000.0,10000.0,-50.0,50.0,0.0,,,,,,,,,10000.92857142857,10000.4,,,,0,0
SQUID_INK,600.0,"[1834.0, 1832.0, nan, nan]","[5.0, 30.0, nan, nan]","[1835.0, nan, nan, nan]","[-30.0, nan, nan, nan]",1834.0,5.0,1835.0,-30.0,-30.0,35.0,65.0,1834.5,1833.5384615384612,-50.0,50.0,22.0,,,,,,,,,1835.4285714285716,1834.8,,,,0,0
KELP,700.0,"[2032.0, nan, nan, nan]","[22.0, nan, nan, nan]","[2035.0, nan, nan, nan]","[-23.0, nan, nan, nan]",2032.0,22.0,2035.0,-23.0,-23.0,22.0,45.0,2033.5,2033.5333333333333,-50.0,50.0,0.0,,,,,,,,,2033.75,2033.7,,,,0,0
RAINFOREST_RESIN,700.0,"[9996.0, 9995.0, nan, nan]","[1.0, 22.0, nan, nan]","[10004.0, 10005.0, nan, nan]","[-1.0, -22.0, nan, nan]",9996.0,1.0,10004.0,-1.0,-23.0,23.0,46.0,10000.0,10000.0,-50.0,50.0,0.0,,,,,,,,,10000.8125,10000.4,,,,0,0
SQUID_INK,700.0,"[1834.0, nan, nan, nan]","[22.0, nan, nan, nan]","[1837.0, 1838.0, nan, nan]","[-1.0, -22.0, nan, nan]",1834.0,22.0,1837.0,-1.0,-23.0,22.0,45.0,1835.5,1836.022222222222,-50.0,50.0,50.0,,,,,,,,,1835.4375,1835.2,,,,0,0
KELP,800.0,"[2032.0, nan, nan, nan]","[25.0, nan, nan, nan]","[2033.0, 2035.0, nan, nan]","[-3.0, -25.0, nan, nan]",2032.0,25.0,2033.0,-3.0,-28.0,25.0,53.0,2032.5,2033.471698113208,-50.0,50.0,0.0,,,,,,,,,2033.611111111111,2033.3,,,,0,0
RAINFOREST_RESIN,800.0,"[9996.0, 9995.0, nan, nan]","[1.0, 24.0, nan, nan]","[10000.0, 10004.0, 10005.0, nan]","[-3.0, -1.0, -24.0, nan]",9996.0,1.0,10000.0,-3.0,-28.0,25.0,53.0,9998.0,10000.0,-50.0,50.0,0.0,,,,,,,,,10000.5,10000.0,,,,0,0
SQUID_INK,800.0,"[1836.0, nan, nan, nan]","[25.0, nan, nan, nan]","[1837.0, 1839.0, nan, nan]","[-3.0, -25.0, nan, nan]",1836.0,25.0,1837.0,-3.0,-28.0,25.0,53.0,1836.5,1837.471698113208,-50.0,50.0,50.0,,,,,,,,,1835.555555555556,1835.2,,,,0,0
KELP,900.0,"[2031.0, nan, nan, nan]","[21.0, nan, nan, nan]","[2035.0, nan, nan, nan]","[-21.0, nan, nan, nan]",2031.0,21.0,2035.0,-21.0,-21.0,21.0,42.0,2033.0,2033.0,-50.0,50.0,3.0,,,,,,,,,2033.55,2033.2,2033.55,,,0,0
RAINFOREST_RESIN,900.0,"[9996.0, 9995.0, nan, nan]","[1.0, 20.0, nan, nan]","[9998.0, 10004.0, 10005.0, nan]","[-11.0, -1.0, -20.0, nan]",9996.0,1.0,9998.0,-11.0,-32.0,21.0,53.0,9997.0,9999.584905660377,-50.0,50.0,3.0,,,,,,,,,10000.15,9999.2,10000.15,,,0,0
SQUID_INK,900.0,"[1840.0, nan, nan, nan]","[21.0, nan, nan, nan]","[1843.0, nan, nan, nan]","[-21.0, nan, nan, nan]",1840.0,21.0,1843.0,-21.0,-21.0,21.0,42.0,1841.5,1841.5,-50.0,50.0,25.0,,,,,,,,,1836.15,1836.6,1836.15,,,0,0
KELP,1000.0,"[2032.0, nan, nan, nan]","[31.0, nan, nan, nan]","[2035.0, nan, nan, nan]","[-31.0, nan, nan, nan]",2032.0,31.0,2035.0,-31.0,-31.0,31.0,62.0,2033.5,2033.5,-50.0,50.0,3.0,,,,,,,,,2033.5454545454545,2033.3,2033.55,,,0,0
RAINFOREST_RESIN,1000.0,"[9996.0, 9995.0, nan, nan]","[1.0, 30.0, nan, nan]","[10004.0, 10005.0, nan, nan]","[-1.0, -30.0, nan, nan]",9996.0,1.0,10004.0,-1.0,-31.0,31.0,62.0,10000.0,10000.0,-50.0,50.0,14.0,,,,,,,,,10000.136363636364,9999.0,10000.0,,,0,0
SQUID_INK,1000.0,"[1841.0, nan, nan, nan]","[31.0, nan, nan, nan]","[1844.0, nan, nan, nan]","[-31.0, nan, nan, nan]",1841.0,31.0,1844.0,-31.0,-31.0,31.0,62.0,1842.5,1842.5,-50.0,50.0,4.0,,,,,,,,,1836.7272727272727,1838.1,1836.8,,,0,0
KELP,1100.0,"[2032.0, nan, nan, nan]","[22.0, nan, nan, nan]","[2035.0, nan, nan, nan]","[-22.0, nan, nan, nan]",2032.0,22.0,2035.0,-22.0,-22.0,22.0,44.0,2033.5,2033.5,-50.0,50.0,3.0,,,,,,,,,2033.5416666666667,2033.2,2033.45,,,0,0
RAINFOREST_RESIN,1100.0,"[9996.0, 9995.0, nan, nan]","[1.0, 21.0, nan, nan]","[10002.0, 10004.0, 10005.0, nan]","[-6.0, -1.0, -21.0, nan]",9996.0,1.0,10002.0,-6.0,-28.0,22.0,50.0,9999.0,10000.24,-50.0,50.0,14.0,,,,,,,,,10000.041666666666,9998.8,9999.6,,,0,0
SQUID_INK,1100.0,"[1840.0, nan, nan, nan]","[22.0, nan, nan, nan]","[1843.0, nan, nan, nan]","[-22.0, nan, nan, nan]",1840.0,22.0,1843.0,-22.0,-22.0,22.0,44.0,1841.5,1841.5,-50.0,50.0,-27.0,,,,,,,,,1837.125,1839.5,1837.15,,,0,0
KELP,1200.0,"[2031.0, nan, nan, nan]","[23.0, nan, nan, nan]","[2032.0, 2035.0, nan, nan]","[-1.0, -23.0, nan, nan]",2031.0,23.0,2032.0,-1.0,-24.0,23.0,47.0,2031.5,2032.9787234042556,-50.0,50.0,3.0,,,,,,,,,2033.3846153846157,2032.8,2033.25,,,0,0
RAINFOREST_RESIN,1200.0,"[9996.0, 9995.0, nan, nan]","[1.0, 22.0, nan, nan]","[10004.0, 10005.0, nan, nan]","[-1.0, -22.0, nan, nan]",9996.0,1.0,10004.0,-1.0,-23.0,23.0,46.0,10000.0,10000.0,-50.0,50.0,14.0,,,,,,,,,10000.03846153846,9998.8,9999.6,,,0,0
SQUID_INK,1200.0,"[1839.0, nan, nan, nan]","[22.0, nan, nan, nan]","[1842.0, nan, nan, nan]","[-23.0, nan, nan, nan]",1839.0,22.0,1842.0,-23.0,-23.0,22.0,45.0,1840.5,1840.5333333333333,-50.0,50.0,-49.0,,,,,,,,,1837.3846153846157,1840.5,1837.85,,,0,0
KELP,1300.0,"[2031.0, nan, nan, nan]","[25.0, nan, nan, nan]","[2035.0, nan, nan, nan]","[-25.0, nan, nan, nan]",2031.0,25.0,2035.0,-25.0,-25.0,25.0,50.0,2033.0,2033.0,-50.0,50.0,4.0,,,,,,,,,2033.357142857143,2032.9,2033.1,,,0,0
RAINFOREST_RESIN,1300.0,"[10002.0, 9995.0, nan, nan]","[1.0, 25.0, nan, nan]","[10005.0, nan, nan, nan]","[-25.0, nan, nan, nan]",10002.0,1.0,10005.0,-25.0,-25.0,26.0,51.0,10003.5,10000.039215686274,-50.0,50.0,14.0,,,,,,,,,10000.285714285714,9999.9,9999.95,,,0,0
SQUID_INK,1300.0,"[1840.0, nan, nan, nan]","[25.0, nan, nan, nan]","[1843.0, nan, nan, nan]","[-25.0, nan, nan, nan]",1840.0,25.0,1843.0,-25.0,-25.0,25.0,50.0,1841.5,1841.5,-50.0,50.0,-50.0,,,,,,,,,1837.6785714285716,1841.5,1838.35,,,0,0
KELP,1400.0,"[2031.0, nan, nan, nan]","[23.0, nan, nan, nan]","[2033.0, 2035.0, nan, nan]","[-6.0, -23.0, nan, nan]",2031.0,23.0,2033.0,-6.0,-29.0,23.0,52.0,2032.0,2033.0,-50.0,50.0,4.0,,,,,,,,,2033.2666666666669,2032.7,2032.95,,,0,0
RAINFOREST_RESIN,1400.0,"[9995.0, nan, nan, nan]","[23.0, nan, nan, nan]","[10000.0, 10005.0, nan, nan]","[-6.0, -23.0, nan, nan]",9995.0,23.0,10000.0,-6.0,-29.0,23.0,52.0,9997.5,10000.0,-50.0,50.0,13.0,,,,,,,,,10000.1,10000.0,9999.6,,,0,0
SQUID_INK,1400.0,"[1841.0, nan, nan, nan]","[23.0, nan, nan, nan]","[1842.0, 1844.0, nan, nan]","[-6.0, -23.0, nan, nan]",1841.0,23.0,1842.0,-6.0,-29.0,23.0,52.0,1841.5,1842.442307692308,-50.0,50.0,-50.0,,,,,,,,,1837.9333333333332,1841.5,1839.05,,,0,0
KELP,1500.0,"[2034.0, 2032.0, 2031.0, nan]","[1.0, 1.0, 20.0, nan]","[2035.0, nan, nan, nan]","[-21.0, nan, nan, nan]",2034.0,1.0,2035.0,-21.0,-21.0,22.0,43.0,2034.5,2033.046511627907,-50.0,50.0,10.0,,,,,,,,,2033.34375,2032.9,2033.1,,,0,0
RAINFOREST_RESIN,1500.0,"[9996.0, 9995.0, nan, nan]","[1.0, 20.0, nan, nan]","[9998.0, 10004.0, 10005.0, nan]","[-4.0, -1.0, -20.0, nan]",9996.0,1.0,9998.0,-4.0,-25.0,21.0,46.0,9997.0,9999.826086956522,-50.0,50.0,19.0,,,,,,,,,9999.90625,9999.4,9999.2,,,0,0
SQUID_INK,1500.0,"[1844.0, 1842.0, nan, nan]","[1.0, 21.0, nan, nan]","[1845.0, nan, nan, nan]","[-21.0, nan, nan, nan]",1844.0,1.0,1845.0,-21.0,-21.0,22.0,43.0,1844.5,1843.5116279069769,-50.0,50.0,-50.0,,,,,,,,,1838.34375,1841.9,1840.0,,,0,0
KELP,1600.0,"[2032.0, nan, nan, nan]","[30.0, nan, nan, nan]","[2035.0, nan, nan, nan]","[-30.0, nan, nan, nan]",2032.0,30.0,2035.0,-30.0,-30.0,30.0,60.0,2033.5,2033.5,-50.0,50.0,9.0,,,,,,,,,2033.3529411764705,2032.9,2033.05,,,0,0
RAINFOREST_RESIN,1600.0,"[9996.0, 9995.0, nan, nan]","[2.0, 28.0, nan, nan]","[10004.0, 10005.0, nan, nan]","[-2.0, -28.0, nan, nan]",9996.0,2.0,10004.0,-2.0,-30.0,30.0,60.0,10000.0,10000.0,-50.0,50.0,23.0,,,,,,,,,9999.911764705885,9999.6,9999.2,,,0,0
SQUID_INK,1600.0,"[1844.0, 1843.0, nan, nan]","[2.0, 28.0, nan, nan]","[1847.0, nan, nan, nan]","[-30.0, nan, nan, nan]",1844.0,2.0,1847.0,-30.0,-30.0,30.0,60.0,1845.5,1845.0333333333333,-50.0,50.0,-50.0,,,,,,,,,1838.764705882353,1842.7,1841.1,,,0,0
KELP,1700.0,"[2032.0, nan, nan, nan]","[28.0, nan, nan, nan]","[2034.0, 2035.0, nan, nan]","[-8.0, -28.0, nan, nan]",2032.0,28.0,2034.0,-8.0,-36.0,28.0,64.0,2033.0,2033.5625,-50.0,50.0,9.0,,,,,,,,,2033.3333333333333,2033.2,2033.0,,,0,0
RAINFOREST_RESIN,1700.0,"[9995.0, nan, nan, nan]","[28.0, nan, nan, nan]","[10005.0, nan, nan, nan]","[-28.0, nan, nan, nan]",9995.0,28.0,10005.0,-28.0,-28.0,28.0,56.0,10000.0,10000.0,-50.0,50.0,23.0,,,,,,,,,9999.916666666666,9999.6,9999.2,,,0,0
SQUID_INK,1700.0,"[1841.0, nan, nan, nan]","[28.0, nan, nan, nan]","[1843.0, 1844.0, nan, nan]","[-8.0, -28.0, nan, nan]",1841.0,28.0,1843.0,-8.0,-36.0,28.0,64.0,1842.0,1842.5625,-50.0,50.0,-50.0,,,,,,,,,1838.9444444444443,1843.0,1841.75,,,0,0
KELP,1800.0,"[2033.0, 2032.0, nan, nan]","[4.0, 23.0, nan, nan]","[2035.0, nan, nan, nan]","[-23.0, nan, nan, nan]",2033.0,4.0,2035.0,-23.0,-23.0,27.0,50.0,2034.0,2033.46,-50.0,50.0,9.0,,,,,,,,,2033.368421052632,2033.4,2033.15,,,0,0
RAINFOREST_RESIN,1800.0,"[10000.0, 9995.0, nan, nan]","[4.0, 23.0, nan, nan]","[10002.0, 10005.0, nan, nan]","[-10.0, -23.0, nan, nan]",10000.0,4.0,10002.0,-10.0,-33.0,27.0,60.0,10001.0,10000.333333333334,-50.0,50.0,23.0,,,,,,,,,9999.973684210529,9999.1,9999.5,,,0,0
SQUID_INK,1800.0,"[1843.0, 1841.0, nan, nan]","[4.0, 23.0, nan, nan]","[1845.0, nan, nan, nan]","[-23.0, nan, nan, nan]",1843.0,4.0,1845.0,-23.0,-23.0,27.0,50.0,1844.0,1843.0,-50.0,50.0,-50.0,,,,,,,,,1839.2105263157891,1843.5,1842.5,,,0,0
KELP,1900.0,"[2032.0, nan, nan, nan]","[31.0, nan, nan, nan]","[2035.0, nan, nan, nan]","[-32.0, nan, nan, nan]",2032.0,31.0,2035.0,-32.0,-32.0,31.0,63.0,2033.5,2033.5238095238096,-50.0,50.0,9.0,,,,,,,,,2033.375,2033.7,2033.2,2033.375,,1,0
RAINFOREST_RESIN,1900.0,"[9996.0, 9995.0, nan, nan]","[2.0, 30.0, nan, nan]","[10004.0, 10005.0, nan, nan]","[-2.0, -30.0, nan, nan]",9996.0,2.0,10004.0,-2.0,-32.0,32.0,64.0,10000.0,10000.0,-50.0,50.0,19.0,,,,,,,,,9999.975,9999.6,9999.8,9999.975,,-1,0
SQUID_INK,1900.0,"[1844.0, nan, nan, nan]","[32.0, nan, nan, nan]","[1845.0, 1847.0, 1848.0, nan]","[-1.0, -2.0, -30.0, nan]",1844.0,32.0,1845.0,-1.0,-33.0,32.0,65.0,1844.5,1845.953846153846,-50.0,50.0,-50.0,,,,,,,,,1839.475,1844.1,1842.8,1839.475,,1,0
KELP,2000.0,"[2032.0, nan, nan, nan]","[23.0, nan, nan, nan]","[2035.0, nan, nan, nan]","[-23.0, nan, nan, nan]",2032.0,23.0,2035.0,-23.0,-23.0,23.0,46.0,2033.5,2033.5,-50.0,50.0,9.0,,,,,,,,,2033.375,2033.5,2033.2,2033.375,,1,0
RAINFOREST_RESIN,2000.0,"[9996.0, 9995.0, nan, nan]","[2.0, 21.0, nan, nan]","[10004.0, 10005.0, nan, nan]","[-2.0, -21.0, nan, nan]",9996.0,2.0,10004.0,-2.0,-23.0,23.0,46.0,10000.0,10000.0,-50.0,50.0,19.0,,,,,,,,,9999.9,10000.2,9999.8,9999.9,,1,0
SQUID_INK,2000.0,"[1846.0, nan, nan, nan]","[23.0, nan, nan, nan]","[1849.0, nan, nan, nan]","[-23.0, nan, nan, nan]",1846.0,23.0,1849.0,-23.0,-23.0,23.0,46.0,1847.5,1847.5,-50.0,50.0,-50.0,,,,,,,,,1840.05,1844.7,1843.3,1840.05,,1,0
KELP,2100.0,"[2032.0, 2031.0, nan, nan]","[2.0, 26.0, nan, nan]","[2034.0, 2035.0, nan, nan]","[-5.0, -28.0, nan, nan]",2032.0,2.0,2034.0,-5.0,-33.0,28.0,61.0,2033.0,2033.114754098361,-50.0,50.0,9.0,,,,,,,,,2033.3,2033.4,2033.15,2033.3,,1,0
RAINFOREST_RESIN,2100.0,"[9996.0, 9995.0, nan, nan]","[2.0, 26.0, nan, nan]","[10004.0, 10005.0, nan, nan]","[-2.0, -26.0, nan, nan]",9996.0,2.0,10004.0,-2.0,-28.0,28.0,56.0,10000.0,10000.0,-50.0,50.0,19.0,,,,,,,,,9999.75,10000.2,9999.9,9999.75,,1,0
SQUID_INK,2100.0,"[1845.0, nan, nan, nan]","[28.0, nan, nan, nan]","[1847.0, 1848.0, 1849.0, nan]","[-5.0, -2.0, -26.0, nan]",1845.0,28.0,1847.0,-5.0,-33.0,28.0,61.0,1846.0,1846.967213114754,-50.0,50.0,-50.0,,,,,,,,,1840.45,1844.8,1843.75,1840.45,,1,0
KELP,2200.0,"[2032.0, nan, nan, nan]","[25.0, nan, nan, nan]","[2035.0, nan, nan, nan]","[-21.0, nan, nan, nan]",2032.0,25.0,2035.0,-21.0,-21.0,25.0,46.0,2033.5,2033.3695652173917,-50.0,50.0,9.0,,,,,,,,,2033.3,2033.5,2033.35,2033.3,,1,0
RAINFOREST_RESIN,2200.0,"[9996.0, 9995.0, nan, nan]","[1.0, 20.0, nan, nan]","[9998.0, 10004.0, 10005.0, nan]","[-4.0, -1.0, -20.0, nan]",9996.0,1.0,9998.0,-4.0,-25.0,21.0,46.0,9997.0,9999.826086956522,-50.0,50.0,19.0,,,,,,,,,9999.6,9999.6,9999.6,9999.6,,0,0
SQUID_INK,2200.0,"[1846.0, nan, nan, nan]","[25.0, nan, nan, nan]","[1849.0, nan, nan, nan]","[-21.0, nan, nan, nan]",1846.0,25.0,1849.0,-21.0,-21.0,25.0,46.0,1847.5,1847.3695652173917,-50.0,50.0,-50.0,,,,,,,,,1841.15,1845.9,1844.45,1841.15,,1,0
KELP,2300.0,"[2032.0, 2031.0, nan, nan]","[7.0, 22.0, nan, nan]","[2035.0, nan, nan, nan]","[-24.0, nan, nan, nan]",2032.0,7.0,2035.0,-24.0,-24.0,29.0,53.0,2033.5,2032.9433962264152,-50.0,50.0,9.0,,,,,,,,,2033.25,2033.4,2033.4,2033.25,,1,0
RAINFOREST_RESIN,2300.0,"[9996.0, 9995.0, nan, nan]","[2.0, 22.0, nan, nan]","[10004.0, 10005.0, nan, nan]","[-2.0, -22.0, nan, nan]",9996.0,2.0,10004.0,-2.0,-24.0,24.0,48.0,10000.0,10000.0,-50.0,50.0,23.0,,,,,,,,,9999.6,9999.4,9999.25,9999.6,,-1,0
SQUID_INK,2300.0,"[1848.0, 1847.0, nan, nan]","[7.0, 22.0, nan, nan]","[1851.0, nan, nan, nan]","[-24.0, nan, nan, nan]",1848.0,7.0,1851.0,-24.0,-24.0,29.0,53.0,1849.5,1848.9433962264152,-50.0,50.0,-50.0,,,,,,,,,1841.8,1847.0,1845.25,1841.8,,1,0
KELP,2400.0,"[2031.0, nan, nan, nan]","[22.0, nan, nan, nan]","[2035.0, nan, nan, nan]","[-22.0, nan, nan, nan]",2031.0,22.0,2035.0,-22.0,-22.0,22.0,44.0,2033.0,2033.0,-50.0,50.0,9.0,,,,,,,,,2033.225,2033.3,2033.5,2033.225,,1,0
RAINFOREST_RESIN,2400.0,"[9996.0, 9995.0, nan, nan]","[2.0, 20.0, nan, nan]","[10004.0, 10005.0, nan, nan]","[-2.0, -20.0, nan, nan]",9996.0,2.0,10004.0,-2.0,-22.0,22.0,44.0,10000.0,10000.0,-50.0,50.0,23.0,,,,,,,,,9999.55,9999.4,9999.5,9999.55,,-1,0
SQUID_INK,2400.0,"[1846.0, nan, nan, nan]","[22.0, nan, nan, nan]","[1849.0, nan, nan, nan]","[-22.0, nan, nan, nan]",1846.0,22.0,1849.0,-22.0,-22.0,22.0,44.0,1847.5,1847.5,-50.0,50.0,-50.0,,,,,,,,,1842.45,1847.6,1845.85,1842.45,,1,0
KELP,2500.0,"[2032.0, 2031.0, nan, nan]","[2.0, 21.0, nan, nan]","[2035.0, nan, nan, nan]","[-23.0, nan, nan, nan]",2032.0,2.0,2035.0,-23.0,-23.0,23.0,46.0,2033.5,2033.0434782608693,-50.0,50.0,9.0,,,,,,,,,2033.25,2033.3,2033.4,2033.25,,1,0
RAINFOREST_RESIN,2500.0,"[9998.0, 9996.0, 9995.0, nan]","[3.0, 2.0, 21.0, nan]","[10004.0, 10005.0, nan, nan]","[-2.0, -21.0, nan, nan]",9998.0,3.0,10004.0,-2.0,-23.0,26.0,49.0,10001.0,9999.877551020409,-50.0,50.0,23.0,,,,,,,,,9999.55,9999.6,9999.9,9999.55,,1,0
SQUID_INK,2500.0,"[1847.0, 1846.0, nan, nan]","[2.0, 21.0, nan, nan]","[1850.0, nan, nan, nan]","[-23.0, nan, nan, nan]",1847.0,2.0,1850.0,-23.0,-23.0,23.0,46.0,1848.5,1848.0434782608693,-50.0,50.0,-50.0,,,,,,,,,1843.125,1847.8,1846.25,1843.125,,1,0
KELP,2600.0,"[2032.0, 2031.0, nan, nan]","[1.0, 29.0, nan, nan]","[2035.0, nan, nan, nan]","[-30.0, nan, nan, nan]",2032.0,1.0,2035.0,-30.0,-30.0,30.0,60.0,2033.5,2033.0166666666669,-50.0,50.0,9.0,,,,,,,,,2033.225,2033.4,2033.4,2033.225,,1,0
