product,timestamp,bid_prices,bid_volumes,ask_prices,ask_volumes,best_bid,best_bid_volume,best_ask,best_ask_volume,total_ask_volume,total_bid_volume,total_volume,mid_price,weighted_mid_price,max_sell_position,max_buy_position,current_position,observation_plain_value,observation_bidPrice,observation_askPrice,observation_transportFees,observation_exportTariff,observation_importTariff,observation_sugarPrice,observation_sunlightIndex,order_quantity,order_price,order_revenue,fair_price,sma_16,sma_27,sma_cross16_27_signal,sma_cross16_27_mom28_0.0045_signal
RAINFOREST_RESIN,300.0,"[9995.0, nan, nan, nan]","[26.0, nan, nan, nan]","[10005.0, nan, nan, nan]","[-26.0, nan, nan, nan]",9995.0,26.0,10005.0,-26.0,-26.0,26.0,52.0,10000.0,10000.0,-50.0,50.0,0.0,,,,,,,,,0.0,0.0,0.0,10001.125,,,,
SQUID_INK,300.0,"[1967.0, 1965.0, nan, nan]","[1.0, 26.0, nan, nan]","[1968.0, nan, nan, nan]","[-26.0, nan, nan, nan]",1967.0,1.0,1968.0,-26.0,-26.0,27.0,53.0,1967.5,1966.5094339622642,-50.0,50.0,0.0,,,,,,,,,0.0,0.0,0.0,,1968.75,1968.75,0.0,0.0
KELP,400.0,"[2029.0, 2028.0, nan, nan]","[2.0, 26.0, nan, nan]","[2032.0, nan, nan, nan]","[-28.0, nan, nan, nan]",2029.0,2.0,2032.0,-28.0,-28.0,28.0,56.0,2030.5,2030.0357142857142,-50.0,50.0,-2.0,,,,,,,,,0.0,0.0,0.0,2030.8,,,,
RAINFOREST_RESIN,400.0,"[9998.0, 9996.0, 9995.0, nan]","[8.0, 2.0, 26.0, nan]","[10004.0, 10005.0, nan, nan]","[-2.0, -26.0, nan, nan]",9998.0,8.0,10004.0,-2.0,-28.0,36.0,64.0,10001.0,9999.75,-50.0,50.0,0.0,,,,,,,,,0.0,0.0,0.0,10001.1,,,,
SQUID_INK,400.0,"[1966.0, nan, nan, nan]","[28.0, nan, nan, nan]","[1969.0, nan, nan, nan]","[-28.0, nan, nan, nan]",1966.0,28.0,1969.0,-28.0,-28.0,28.0,56.0,1967.5,1967.5,-50.0,50.0,0.0,,,,,,,,,0.0,0.0,0.0,,1968.5,1968.5,0.0,0.0
KELP,500.0,"[2028.0, nan, nan, nan]","[24.0, nan, nan, nan]","[2030.0, 2031.0, nan, nan]","[-3.0, -24.0, nan, nan]",2028.0,24.0,2030.0,-3.0,-27.0,24.0,51.0,2029.0,2029.5294117647059,-50.0,50.0,-2.0,,,,,,,,,3.0,2030.0,6090.0,2030.5,,,,
RAINFOREST_RESIN,500.0,"[9998.0, 9996.0, 9995.0, nan]","[8.0, 1.0, 23.0, nan]","[10004.0, 10005.0, nan, nan]","[-1.0, -23.0, nan, nan]",9998.0,8.0,10004.0,-1.0,-24.0,32.0,56.0,10001.0,9999.714285714286,-50.0,50.0,0.0,,,,,,,,,0.0,0.0,0.0,10001.083333333334,,,,
SQUID_INK,500.0,"[1966.0, nan, nan, nan]","[24.0, nan, nan, nan]","[1968.0, 1970.0, nan, nan]","[-3.0, -24.0, nan, nan]",1966.0,24.0,1968.0,-3.0,-27.0,24.0,51.0,1967.0,1968.0,-50.0,50.0,0.0,,,,,,,,,0.0,0.0,0.0,,1968.25,1968.25,0.0,0.0
KELP,600.0,"[2030.0, 2028.0, nan, nan]","[5.0, 30.0, nan, nan]","[2031.0, nan, nan, nan]","[-30.0, nan, nan, nan]",2030.0,5.0,2031.0,-30.0,-30.0,35.0,65.0,2030.5,2029.5384615384614,-50.0,50.0,1.0,,,,,,,,,0.0,0.0,0.0,2030.5,,,,
RAINFOREST_RESIN,600.0,"[9996.0, 9995.0, nan, nan]","[2.0, 28.0, nan, nan]","[10004.0, 10005.0, nan, nan]","[-2.0, -28.0, nan, nan]",9996.0,2.0,10004.0,-2.0,-30.0,30.0,60.0,10000.0,10000.0,-50.0,50.0,0.0,,,,,,,,,0.0,0.0,0.0,10000.92857142857,,,,
SQUID_INK,600.0,"[1967.0, 1965.0, nan, nan]","[5.0, 30.0, nan, nan]","[1968.0, nan, nan, nan]","[-30.0, nan, nan, nan]",1967.0,5.0,1968.0,-30.0,-30.0,35.0,65.0,1967.5,1966.5384615384614,-50.0,50.0,0.0,,,,,,,,,0.0,0.0,0.0,,1968.142857142857,1968.142857142857,0.0,0.0
KELP,700.0,"[2028.0, nan, nan, nan]","[22.0, nan, nan, nan]","[2032.0, nan, nan, nan]","[-23.0, nan, nan, nan]",2028.0,22.0,2032.0,-23.0,-23.0,22.0,45.0,2030.0,2030.0444444444445,-50.0,50.0,1.0,,,,,,,,,0.0,0.0,0.0,2030.4375,,,,
RAINFOREST_RESIN,700.0,"[9996.0, 9995.0, nan, nan]","[1.0, 22.0, nan, nan]","[10004.0, 10005.0, nan, nan]","[-1.0, -22.0, nan, nan]",9996.0,1.0,10004.0,-1.0,-23.0,23.0,46.0,10000.0,10000.0,-50.0,50.0,0.0,,,,,,,,,0.0,0.0,0.0,10000.8125,,,,
SQUID_INK,700.0,"[1967.0, nan, nan, nan]","[22.0, nan, nan, nan]","[1970.0, nan, nan, nan]","[-23.0, nan, nan, nan]",1967.0,22.0,1970.0,-23.0,-23.0,22.0,45.0,1968.5,1968.5333333333333,-50.0,50.0,0.0,,,,,,,,,0.0,0.0,0.0,,1968.1875,1968.1875,0.0,0.0
KELP,800.0,"[2028.0, nan, nan, nan]","[25.0, nan, nan, nan]","[2030.0, 2032.0, nan, nan]","[-3.0, -25.0, nan, nan]",2028.0,25.0,2030.0,-3.0,-28.0,25.0,53.0,2029.0,2030.0,-50.0,50.0,1.0,,,,,,,,,3.0,2030.0,6090.0,2030.2777777777778,,,,
RAINFOREST_RESIN,800.0,"[9996.0, 9995.0, nan, nan]","[1.0, 24.0, nan, nan]","[10000.0, 10004.0, 10005.0, nan]","[-3.0, -1.0, -24.0, nan]",9996.0,1.0,10000.0,-3.0,-28.0,25.0,53.0,9998.0,10000.0,-50.0,50.0,0.0,,,,,,,,,3.0,10000.0,30000.0,10000.5,,,,
SQUID_INK,800.0,"[1967.0, nan, nan, nan]","[25.0, nan, nan, nan]","[1968.0, 1970.0, nan, nan]","[-3.0, -25.0, nan, nan]",1967.0,25.0,1968.0,-3.0,-28.0,25.0,53.0,1967.5,1968.4716981132076,-50.0,50.0,0.0,,,,,,,,,0.0,0.0,0.0,,1968.111111111111,1968.111111111111,0.0,0.0
KELP,900.0,"[2029.0, nan, nan, nan]","[21.0, nan, nan, nan]","[2032.0, nan, nan, nan]","[-21.0, nan, nan, nan]",2029.0,21.0,2032.0,-21.0,-21.0,21.0,42.0,2030.5,2030.5,-50.0,50.0,4.0,,,,,,,,,0.0,0.0,0.0,2030.3,,,,
RAINFOREST_RESIN,900.0,"[9996.0, 9995.0, nan, nan]","[1.0, 20.0, nan, nan]","[9998.0, 10004.0, 10005.0, nan]","[-11.0, -1.0, -20.0, nan]",9996.0,1.0,9998.0,-11.0,-32.0,21.0,53.0,9997.0,9999.584905660377,-50.0,50.0,3.0,,,,,,,,,11.0,9998.0,109978.0,10000.15,,,,
SQUID_INK,900.0,"[1966.0, nan, nan, nan]","[21.0, nan, nan, nan]","[1970.0, nan, nan, nan]","[-21.0, nan, nan, nan]",1966.0,21.0,1970.0,-21.0,-21.0,21.0,42.0,1968.0,1968.0,-50.0,50.0,0.0,,,,,,,,,0.0,0.0,0.0,,1968.1,1968.1,0.0,0.0
KELP,1000.0,"[2029.0, nan, nan, nan]","[31.0, nan, nan, nan]","[2032.0, nan, nan, nan]","[-31.0, nan, nan, nan]",2029.0,31.0,2032.0,-31.0,-31.0,31.0,62.0,2030.5,2030.5,-50.0,50.0,4.0,,,,,,,,,0.0,0.0,0.0,2030.3181818181818,,,,
RAINFOREST_RESIN,1000.0,"[9996.0, 9995.0, nan, nan]","[1.0, 30.0, nan, nan]","[10004.0, 10005.0, nan, nan]","[-1.0, -30.0, nan, nan]",9996.0,1.0,10004.0,-1.0,-31.0,31.0,62.0,10000.0,10000.0,-50.0,50.0,14.0,,,,,,,,,0.0,0.0,0.0,10000.136363636364,,,,
SQUID_INK,1000.0,"[1967.0, nan, nan, nan]","[31.0, nan, nan, nan]","[1970.0, nan, nan, nan]","[-31.0, nan, nan, nan]",1967.0,31.0,1970.0,-31.0,-31.0,31.0,62.0,1968.5,1968.5,-50.0,50.0,0.0,,,,,,,,,0.0,0.0,0.0,,1968.1363636363637,1968.1363636363637,0.0,0.0
KELP,1100.0,"[2029.0, nan, nan, nan]","[22.0, nan, nan, nan]","[2032.0, nan, nan, nan]","[-22.0, nan, nan, nan]",2029.0,22.0,2032.0,-22.0,-22.0,22.0,44.0,2030.5,2030.5,-50.0,50.0,4.0,,,,,,,,,0.0,0.0,0.0,2030.3333333333333,,,,
RAINFOREST_RESIN,1100.0,"[9996.0, 9995.0, nan, nan]","[1.0, 21.0, nan, nan]","[10002.0, 10004.0, 10005.0, nan]","[-6.0, -1.0, -21.0, nan]",9996.0,1.0,10002.0,-6.0,-28.0,22.0,50.0,9999.0,10000.24,-50.0,50.0,14.0,,,,,,,,,0.0,0.0,0.0,10000.041666666666,,,,
SQUID_INK,1100.0,"[1968.0, nan, nan, nan]","[22.0, nan, nan, nan]","[1971.0, nan, nan, nan]","[-22.0, nan, nan, nan]",1968.0,22.0,1971.0,-22.0,-22.0,22.0,44.0,1969.5,1969.5,-50.0,50.0,0.0,,,,,,,,,0.0,0.0,0.0,,1968.25,1968.25,0.0,0.0
KELP,1200.0,"[2029.0, nan, nan, nan]","[22.0, nan, nan, nan]","[2033.0, nan, nan, nan]","[-23.0, nan, nan, nan]",2029.0,22.0,2033.0,-23.0,-23.0,22.0,45.0,2031.0,2031.0444444444445,-50.0,50.0,4.0,,,,,,,,,0.0,0.0,0.0,2030.3846153846155,,,,
RAINFOREST_RESIN,1200.0,"[9996.0, 9995.0, nan, nan]","[1.0, 22.0, nan, nan]","[10004.0, 10005.0, nan, nan]","[-1.0, -22.0, nan, nan]",9996.0,1.0,10004.0,-1.0,-23.0,23.0,46.0,10000.0,10000.0,-50.0,50.0,14.0,,,,,,,,,0.0,0.0,0.0,10000.038461538461,,,,
SQUID_INK,1200.0,"[1968.0, nan, nan, nan]","[22.0, nan, nan, nan]","[1971.0, nan, nan, nan]","[-23.0, nan, nan, nan]",1968.0,22.0,1971.0,-23.0,-23.0,22.0,45.0,1969.5,1969.5333333333333,-50.0,50.0,0.0,,,,,,,,,0.0,0.0,0.0,,1968.3461538461538,1968.3461538461538,0.0,0.0
KELP,1300.0,"[2029.0, nan, nan, nan]","[25.0, nan, nan, nan]","[2033.0, nan, nan, nan]","[-25.0, nan, nan, nan]",2029.0,25.0,2033.0,-25.0,-25.0,25.0,50.0,2031.0,2031.0,-50.0,50.0,4.0,,,,,,,,,0.0,0.0,0.0,2030.4285714285713,,,,
RAINFOREST_RESIN,1300.0,"[10002.0, 9995.0, nan, nan]","[1.0, 25.0, nan, nan]","[10005.0, nan, nan, nan]","[-25.0, nan, nan, nan]",10002.0,1.0,10005.0,-25.0,-25.0,26.0,51.0,10003.5,10000.039215686274,-50.0,50.0,14.0,,,,,,,,,-1.0,10002.0,-10002.0,10000.285714285714,,,,
SQUID_INK,1300.0,"[1968.0, nan, nan, nan]","[25.0, nan, nan, nan]","[1971.0, nan, nan, nan]","[-25.0, nan, nan, nan]",1968.0,25.0,1971.0,-25.0,-25.0,25.0,50.0,1969.5,1969.5,-50.0,50.0,0.0,,,,,,,,,0.0,0.0,0.0,,1968.4285714285713,1968.4285714285713,0.0,0.0
KELP,1400.0,"[2029.0, nan, nan, nan]","[23.0, nan, nan, nan]","[2030.0, 2033.0, nan, nan]","[-6.0, -23.0, nan, nan]",2029.0,23.0,2030.0,-6.0,-29.0,23.0,52.0,2029.5,2030.8846153846155,-50.0,50.0,4.0,,,,,,,,,6.0,2030.0,12180.0,2030.3666666666666,,,,
RAINFOREST_RESIN,1400.0,"[9995.0, nan, nan, nan]","[23.0, nan, nan, nan]","[10000.0, 10005.0, nan, nan]","[-6.0, -23.0, nan, nan]",9995.0,23.0,10000.0,-6.0,-29.0,23.0,52.0,9997.5,10000.0,-50.0,50.0,13.0,,,,,,,,,6.0,10000.0,60000.0,10000.1,,,,
SQUID_INK,1400.0,"[1968.0, nan, nan, nan]","[23.0, nan, nan, nan]","[1970.0, 1972.0, nan, nan]","[-6.0, -23.0, nan, nan]",1968.0,23.0,1970.0,-6.0,-29.0,23.0,52.0,1969.0,1970.0,-50.0,50.0,0.0,,,,,,,,,0.0,0.0,0.0,,1968.4666666666667,1968.4666666666667,0.0,0.0
KELP,1500.0,"[2032.0, 2029.0, nan, nan]","[1.0, 21.0, nan, nan]","[2033.0, nan, nan, nan]","[-21.0, nan, nan, nan]",2032.0,1.0,2033.0,-21.0,-21.0,22.0,43.0,2032.5,2031.0232558139535,-50.0,50.0,10.0,,,,,,,,,-1.0,2032.0,-2032.0,2030.5,,,,
RAINFOREST_RESIN,1500.0,"[9996.0, 9995.0, nan, nan]","[1.0, 20.0, nan, nan]","[9998.0, 10004.0, 10005.0, nan]","[-4.0, -1.0, -20.0, nan]",9996.0,1.0,9998.0,-4.0,-25.0,21.0,46.0,9997.0,9999.826086956522,-50.0,50.0,19.0,,,,,,,,,4.0,9998.0,39992.0,9999.90625,,,,
SQUID_INK,1500.0,"[1971.0, 1969.0, nan, nan]","[1.0, 21.0, nan, nan]","[1972.0, nan, nan, nan]","[-21.0, nan, nan, nan]",1971.0,1.0,1972.0,-21.0,-21.0,22.0,43.0,1971.5,1970.5116279069769,-50.0,50.0,0.0,,,,,,,,,0.0,0.0,0.0,,1968.65625,1968.65625,0.0,0.0
KELP,1600.0,"[2029.0, nan, nan, nan]","[30.0, nan, nan, nan]","[2033.0, nan, nan, nan]","[-30.0, nan, nan, nan]",2029.0,30.0,2033.0,-30.0,-30.0,30.0,60.0,2031.0,2031.0,-50.0,50.0,9.0,,,,,,,,,0.0,0.0,0.0,2030.5294117647059,,,,
RAINFOREST_RESIN,1600.0,"[9996.0, 9995.0, nan, nan]","[2.0, 28.0, nan, nan]","[10004.0, 10005.0, nan, nan]","[-2.0, -28.0, nan, nan]",9996.0,2.0,10004.0,-2.0,-30.0,30.0,60.0,10000.0,10000.0,-50.0,50.0,23.0,,,,,,,,,0.0,0.0,0.0,9999.911764705883,,,,
SQUID_INK,1600.0,"[1970.0, nan, nan, nan]","[30.0, nan, nan, nan]","[1974.0, nan, nan, nan]","[-30.0, nan, nan, nan]",1970.0,30.0,1974.0,-30.0,-30.0,30.0,60.0,1972.0,1972.0,-50.0,50.0,0.0,,,,,,,,,0.0,0.0,0.0,,1968.8125,1968.8529411764705,-1.0,0.0
KELP,1700.0,"[2029.0, nan, nan, nan]","[28.0, nan, nan, nan]","[2031.0, 2033.0, nan, nan]","[-8.0, -28.0, nan, nan]",2029.0,28.0,2031.0,-8.0,-36.0,28.0,64.0,2030.0,2031.0,-50.0,50.0,9.0,,,,,,,,,0.0,0.0,0.0,2030.5,,,,
RAINFOREST_RESIN,1700.0,"[9995.0, nan, nan, nan]","[28.0, nan, nan, nan]","[10005.0, nan, nan, nan]","[-28.0, nan, nan, nan]",9995.0,28.0,10005.0,-28.0,-28.0,28.0,56.0,10000.0,10000.0,-50.0,50.0,23.0,,,,,,,,,0.0,0.0,0.0,9999.916666666666,,,,
SQUID_INK,1700.0,"[1970.0, nan, nan, nan]","[28.0, nan, nan, nan]","[1972.0, 1973.0, nan, nan]","[-8.0, -28.0, nan, nan]",1970.0,28.0,1972.0,-8.0,-36.0,28.0,64.0,1971.0,1971.5625,-50.0,50.0,0.0,,,,,,,,,0.0,0.0,0.0,,1968.84375,1968.9722222222222,-1.0,0.0
KELP,1800.0,"[2031.0, 2029.0, nan, nan]","[4.0, 23.0, nan, nan]","[2033.0, nan, nan, nan]","[-23.0, nan, nan, nan]",2031.0,4.0,2033.0,-23.0,-23.0,27.0,50.0,2032.0,2031.0,-50.0,50.0,9.0,,,,,,,,,-4.0,2031.0,-8124.0,2030.578947368421,,,,
RAINFOREST_RESIN,1800.0,"[10000.0, 9995.0, nan, nan]","[4.0, 23.0, nan, nan]","[10002.0, 10005.0, nan, nan]","[-10.0, -23.0, nan, nan]",10000.0,4.0,10002.0,-10.0,-33.0,27.0,60.0,10001.0,10000.333333333334,-50.0,50.0,23.0,,,,,,,,,-4.0,10000.0,-40000.0,9999.973684210527,,,,
SQUID_INK,1800.0,"[1972.0, 1971.0, nan, nan]","[4.0, 23.0, nan, nan]","[1974.0, nan, nan, nan]","[-23.0, nan, nan, nan]",1972.0,4.0,1974.0,-23.0,-23.0,27.0,50.0,1973.0,1972.46,-50.0,50.0,0.0,,,,,,,,,0.0,0.0,0.0,,1969.1875,1969.1842105263158,1.0,0.0
KELP,1900.0,"[2030.0, nan, nan, nan]","[31.0, nan, nan, nan]","[2033.0, nan, nan, nan]","[-32.0, nan, nan, nan]",2030.0,31.0,2033.0,-32.0,-32.0,31.0,63.0,2031.5,2031.5238095238096,-50.0,50.0,5.0,,,,,,,,,0.0,0.0,0.0,2030.625,,,,
RAINFOREST_RESIN,1900.0,"[9996.0, 9995.0, nan, nan]","[2.0, 30.0, nan, nan]","[10004.0, 10005.0, nan, nan]","[-2.0, -30.0, nan, nan]",9996.0,2.0,10004.0,-2.0,-32.0,32.0,64.0,10000.0,10000.0,-50.0,50.0,19.0,,,,,,,,,0.0,0.0,0.0,9999.975,,,,
SQUID_INK,1900.0,"[1969.0, nan, nan, nan]","[31.0, nan, nan, nan]","[1972.0, nan, nan, nan]","[-32.0, nan, nan, nan]",1969.0,31.0,1972.0,-32.0,-32.0,31.0,63.0,1970.5,1970.5238095238096,-50.0,50.0,0.0,,,,,,,,,0.0,0.0,0.0,,1969.375,1969.25,1.0,0.0
KELP,2000.0,"[2030.0, nan, nan, nan]","[23.0, nan, nan, nan]","[2033.0, nan, nan, nan]","[-23.0, nan, nan, nan]",2030.0,23.0,2033.0,-23.0,-23.0,23.0,46.0,2031.5,2031.5,-50.0,50.0,5.0,,,,,,,,,0.0,0.0,0.0,2030.7,,,,
RAINFOREST_RESIN,2000.0,"[9996.0, 9995.0, nan, nan]","[2.0, 21.0, nan, nan]","[10004.0, 10005.0, nan, nan]","[-2.0, -21.0, nan, nan]",9996.0,2.0,10004.0,-2.0,-23.0,23.0,46.0,10000.0,10000.0,-50.0,50.0,19.0,,,,,,,,,0.0,0.0,0.0,9999.9,,,,
SQUID_INK,2000.0,"[1972.0, nan, nan, nan]","[23.0, nan, nan, nan]","[1975.0, nan, nan, nan]","[-23.0, nan, nan, nan]",1972.0,23.0,1975.0,-23.0,-23.0,23.0,46.0,1973.5,1973.5,-50.0,50.0,0.0,,,,,,,,,0.0,0.0,0.0,,1969.75,1969.452380952381,1.0,0.0
KELP,2100.0,"[2030.0, nan, nan, nan]","[28.0, nan, nan, nan]","[2032.0, 2033.0, 2034.0, nan]","[-5.0, -2.0, -26.0, nan]",2030.0,28.0,2032.0,-5.0,-33.0,28.0,61.0,2031.0,2031.967213114754,-50.0,50.0,5.0,,,,,,,,,0.0,0.0,0.0,2030.675,,,,
RAINFOREST_RESIN,2100.0,"[9996.0, 9995.0, nan, nan]","[2.0, 26.0, nan, nan]","[10004.0, 10005.0, nan, nan]","[-2.0, -26.0, nan, nan]",9996.0,2.0,10004.0,-2.0,-28.0,28.0,56.0,10000.0,10000.0,-50.0,50.0,19.0,,,,,,,,,0.0,0.0,0.0,9999.75,,,,
SQUID_INK,2100.0,"[1971.0, nan, nan, nan]","[28.0, nan, nan, nan]","[1972.0, 1974.0, nan, nan]","[-5.0, -28.0, nan, nan]",1971.0,28.0,1972.0,-5.0,-33.0,28.0,61.0,1971.5,1972.4590163934427,-50.0,50.0,0.0,,,,,,,,,0.0,0.0,0.0,,1970.03125,1969.5454545454545,1.0,0.0
KELP,2200.0,"[2031.0, 2030.0, nan, nan]","[4.0, 21.0, nan, nan]","[2034.0, nan, nan, nan]","[-21.0, nan, nan, nan]",2031.0,4.0,2034.0,-21.0,-21.0,25.0,46.0,2032.5,2031.9130434782608,-50.0,50.0,5.0,,,,,,,,,-4.0,2031.0,-8124.0,2030.775,,,,
RAINFOREST_RESIN,2200.0,"[9996.0, 9995.0, nan, nan]","[1.0, 20.0, nan, nan]","[9998.0, 10004.0, 10005.0, nan]","[-4.0, -1.0, -20.0, nan]",9996.0,1.0,9998.0,-4.0,-25.0,21.0,46.0,9997.0,9999.826086956522,-50.0,50.0,19.0,,,,,,,,,4.0,9998.0,39992.0,9999.6,,,,
SQUID_INK,2200.0,"[1972.0, 1971.0, nan, nan]","[5.0, 20.0, nan, nan]","[1975.0, nan, nan, nan]","[-21.0, nan, nan, nan]",1972.0,5.0,1975.0,-21.0,-21.0,25.0,46.0,1973.5,1972.9347826086957,-50.0,50.0,0.0,,,,,,,,,0.0,0.0,0.0,,1970.40625,1969.7173913043478,1.0,0.0
KELP,2300.0,"[2030.0, nan, nan, nan]","[29.0, nan, nan, nan]","[2033.0, nan, nan, nan]","[-24.0, nan, nan, nan]",2030.0,29.0,2033.0,-24.0,-24.0,29.0,53.0,2031.5,2031.3584905660377,-50.0,50.0,1.0,,,,,,,,,0.0,0.0,0.0,2030.775,,,,
RAINFOREST_RESIN,2300.0,"[9996.0, 9995.0, nan, nan]","[2.0, 22.0, nan, nan]","[10004.0, 10005.0, nan, nan]","[-2.0, -22.0, nan, nan]",9996.0,2.0,10004.0,-2.0,-24.0,24.0,48.0,10000.0,10000.0,-50.0,50.0,23.0,,,,,,,,,0.0,0.0,0.0,9999.6,,,,
SQUID_INK,2300.0,"[1972.0, 1971.0, nan, nan]","[5.0, 24.0, nan, nan]","[1975.0, nan, nan, nan]","[-24.0, nan, nan, nan]",1972.0,5.0,1975.0,-24.0,-24.0,29.0,53.0,1973.5,1972.9056603773586,-50.0,50.0,0.0,,,,,,,,,0.0,0.0,0.0,,1970.71875,1969.875,1.0,0.0
KELP,2400.0,"[2030.0, nan, nan, nan]","[22.0, nan, nan, nan]","[2033.0, nan, nan, nan]","[-22.0, nan, nan, nan]",2030.0,22.0,2033.0,-22.0,-22.0,22.0,44.0,2031.5,2031.5,-50.0,50.0,1.0,,,,,,,,,0.0,0.0,0.0,2030.825,,,,
RAINFOREST_RESIN,2400.0,"[9996.0, 9995.0, nan, nan]","[2.0, 20.0, nan, nan]","[10004.0, 10005.0, nan, nan]","[-2.0, -20.0, nan, nan]",9996.0,2.0,10004.0,-2.0,-22.0,22.0,44.0,10000.0,10000.0,-50.0,50.0,23.0,,,,,,,,,0.0,0.0,0.0,9999.55,,,,
SQUID_INK,2400.0,"[1973.0, nan, nan, nan]","[22.0, nan, nan, nan]","[1976.0, nan, nan, nan]","[-22.0, nan, nan, nan]",1973.0,22.0,1976.0,-22.0,-22.0,22.0,44.0,1974.5,1974.5,-50.0,50.0,0.0,,,,,,,,,0.0,0.0,0.0,,1971.15625,1970.06,1.0,0.0
KELP,2500.0,"[2030.0, nan, nan, nan]","[23.0, nan, nan, nan]","[2033.0, 2034.0, nan, nan]","[-2.0, -21.0, nan, nan]",2030.0,23.0,2033.0,-2.0,-23.0,23.0,46.0,2031.5,2031.9565217391305,-50.0,50.0,1.0,,,,,,,,,0.0,0.0,0.0,2030.95,,,,
RAINFOREST_RESIN,2500.0,"[9998.0, 9996.0, 9995.0, nan]","[3.0, 2.0, 21.0, nan]","[10004.0, 10005.0, nan, nan]","[-2.0, -21.0, nan, nan]",9998.0,3.0,10004.0,-2.0,-23.0,26.0,49.0,10001.0,9999.877551020409,-50.0,50.0,23.0,,,,,,,,,0.0,0.0,0.0,9999.55,,,,
